"","topic1","topic2","topic3","topic4","topic5","topic6","topic7","topic8","topic9","topic10","project","projecttype"
"astwiki",0.852570195411644,0.0817718507006478,0.013343972679154,0.0395494100415411,0.00341800442301761,0.00221967220259745,3.79672929890575e-05,4.59840733412623e-05,0.00704275786306639,1.85312001425682e-07,"astwiki","Wikipedia"
"aswiki",0.78909171560501,0.0314382996179271,0.115397067847755,0.000554352349416802,0.0327953555769166,0.00141098264942112,0.00939971588931706,0.000101992289127065,0.0198042996790858,6.21849602378217e-06,"aswiki","Wikipedia"
"atjwiki",0.0002169197396966,0.000216919739696386,0.000216919739696454,0.000216919739696328,0.000216919739696337,0.000216919739696313,0.000216919739696325,0.00021691973969632,0.998047722342733,0.000216919739696312,"atjwiki","Wikipedia"
"avwiki",0.337440903126503,0.0194000684624023,0.0178780980501854,0.000424753030249273,0.200386175573306,0.000386244381908719,0.418054624809356,0.000375168131820862,0.00565299450824392,9.69926024892693e-07,"avwiki","Wikipedia"
"aywiki",0.72722201150182,0.110234130543898,0.038867167231939,0.12212681955606,0.000257161253131374,0.000562809452723802,0.000243377629825417,7.70748720753455e-05,0.000408511732131987,9.36226396210961e-07,"aywiki","Wikipedia"
"azbwiki",0.933578606261529,0.0234921002349126,0.0265837377570347,0.0129484922744806,0.00297076552585236,0.000119651101118023,9.44994666854657e-05,2.7770681168863e-05,0.000159615546173785,2.47611510442493e-05,"azbwiki","Wikipedia"
"azwiki",0.00431768355188706,1.38123058075304e-06,1.10350015436971e-05,0.00020376867004367,6.04165780048204e-07,2.51790247177585e-05,0.142100359922092,0.853223156128505,0.000116820298067358,1.20067830022148e-08,"azwiki","Wikipedia"
"azwikibooks",0.245988078234922,0.265201167327586,0.00870048896118508,0.00579068095051583,0.0317966723770435,0.000188318493094381,0.119309515864849,0.00469270411193665,0.318265824650235,6.65490286320221e-05,"azwikibooks","Wikibooks"
"azwikiquote",0.275764476235289,0.464696533300866,0.0217714690120677,0.00992036021929767,0.192594550918513,2.41146711668193e-05,0.0194784831064868,0.00682749441070515,0.00883445373624483,8.80643893624245e-05,"azwikiquote","Wikiquote"
"azwikisource",4.42513275846205e-07,4.3418458175534e-07,4.33984915204304e-07,4.34111316101438e-07,4.3490786000368e-07,4.33949035760785e-07,4.34088212057193e-07,0.997092245873497,0.00290420598492393,5.00402381968891e-07,"azwikisource","Wikisource"
"barwiki",0.845317146202215,0.0638190724620981,0.0501464830301338,0.0184430624363903,0.0140123574954666,0.00490140607154719,0.000203520376991769,0.00079650141798182,0.00235993678079283,5.1372638288885e-07,"barwiki","Wikipedia"
"bat_smgwiki",0.830891518050312,0.0685609955065627,0.0930522400560656,0.00151890737225574,0.00547218374987274,6.48110353602053e-05,0.000161951820397394,4.54776422009748e-05,0.000231383359761432,5.31407210923642e-07,"bat_smgwiki","Wikipedia"
"bawiki",0.00203918707137812,0.424360786771449,0.000295682611588464,1.57355924205735e-05,0.0645103412199053,8.92213859846808e-06,0.0912757339310592,0.417183081310064,0.000310487895887835,4.14576486615512e-08,"bawiki","Wikipedia"
"bclwiki",0.77036997665291,0.0899442326014296,0.127204539950457,0.000449169288215082,0.00707551376119302,0.000115968623978232,0.000254107501940178,5.70734301513314e-05,0.00452871090107318,7.0728865238145e-07,"bclwiki","Wikipedia"
"be_x_oldwiki",0.328655111593821,0.110209344517031,0.00127283013825485,0.0315679455003275,0.432392047050248,5.56205177945319e-05,0.00109176872688868,0.0931721929866345,0.00158310591324883,3.30557517669423e-08,"be_x_oldwiki","Wikipedia"
"bewiki",7.74872797822131e-06,0.0198934802220295,0.00208423258881603,0.00080280791074137,3.53479151833683e-05,0.00016721617483808,0.00429123441922631,0.972553009418463,0.000164921640151125,9.82573007337205e-10,"bewiki","Wikipedia"
"bewikiquote",0.228278650418193,0.730595381397107,0.00100962810232,0.00251637080071171,0.0084224427061494,9.46095486092342e-06,0.000804608754551628,0.0219778950206922,0.00632958920958901,5.5972635824706e-05,"bewikiquote","Wikiquote"
"bgwiki",2.00105715330704e-05,0.87815812986408,0.120820536751304,0.000164966453676036,0.000165849722366682,0.000464704598010046,4.00959848497655e-05,9.96987724016721e-05,6.6005156474988e-05,2.1253035452699e-09,"bgwiki","Wikipedia"
"bgwikibooks",0.998047722342731,0.000216919739696945,0.000216919739696317,0.000216919739696521,0.000216919739696651,0.000216919739696314,0.000216919739697032,0.000216919739696498,0.000216919739696312,0.000216919739696312,"bgwikibooks","Wikibooks"
"bgwikinews",0.540033857260457,0.30876939624265,0.136829058933342,0.00103812787169163,0.005898267907084,1.91984939244262e-05,0.00109157352430943,0.00181918068130913,0.0043913593851873,0.000109979700044327,"bgwikinews","Wikinews"
"bgwikiquote",0.45849456135644,0.473339966134994,0.0419202257901175,0.00679917029867226,0.00642351188574932,1.68364434816474e-05,0.00115075432003316,0.00225614843000904,0.00951808992614845,8.07354143552892e-05,"bgwikiquote","Wikiquote"
"bhwiki",0.717702986211707,0.0850650343306428,0.123532511378379,0.000321901114085326,0.00904757123506489,0.00322877583044282,0.00500295778526329,0.00348658641426958,0.0526108347110831,8.4098906287424e-07,"bhwiki","Wikipedia"
"biwiki",0.682266721141385,0.255402583694843,0.0587392337680463,0.00101423517104976,0.00047304806672394,0.000564673135802294,0.0004183831133961,0.000131070925025235,0.000986358079697387,3.69290403165622e-06,"biwiki","Wikipedia"
"bjnwiki",0.678301018513606,0.0627924101659618,0.252336666614263,0.000548330376048319,0.00250045477059459,0.000543308430562701,0.000919894377992693,0.000318399314969534,0.00173297596672528,6.54146927624011e-06,"bjnwiki","Wikipedia"
"bmwiki",0.654120518455074,0.122964779601837,0.216305842973359,0.000406466656822511,0.00173032397731962,0.00360126662565888,0.000363315900372904,6.19317662675645e-05,0.000439667662983152,5.88638030625564e-06,"bmwiki","Wikipedia"
"bnwiki",0.906023122975511,0.0153686705919324,0.0418740773056103,0.00136997399655667,0.00227639721496828,0.0142276031280754,0.0187473882889187,3.82222084996036e-05,7.43792189861965e-05,1.6507094185361e-07,"bnwiki","Wikipedia"
"bnwikibooks",0.0127137142196667,0.760720416903723,0.0405697025630837,0.0077888350335218,0.0109194823447477,5.7791276867006e-05,0.00244433689347054,0.00177968698922038,0.162905434092186,0.000100599683512851,"bnwikibooks","Wikibooks"
"bowiki",0.745651022102804,0.0657739929945566,0.088439337608019,0.000580889531209364,0.0074420512192836,0.0909144878496928,0.000885802540027805,3.58107418715852e-05,0.000276108577678715,4.96834856781867e-07,"bowiki","Wikipedia"
"bpywiki",0.788247418698924,0.0747765397837443,0.13003971272523,0.000282106899996285,0.005760647203793,7.47697382033934e-05,0.000291187337944639,5.30416341263876e-05,0.00047389833736994,6.77640668102178e-07,"bpywiki","Wikipedia"
"brwiki",0.807734776661694,0.0143839707456817,0.00939191205768582,0.146509063747685,0.00130960055830685,0.0157693776755902,4.89383877214914e-06,2.08486990727464e-06,0.00489420662121234,1.13223465387632e-07,"brwiki","Wikipedia"
"brwikisource",0.0943446325004875,0.896601456553907,3.48131668038198e-05,0.00346871075165386,0.00400192074372013,1.1360989879064e-05,0.000318627150357167,0.000325355714068453,0.000876380755227351,1.67416738959224e-05,"brwikisource","Wikisource"
"bswiki",0.917789310367561,0.0153193559285729,0.029256897915835,0.0207141406227729,0.00653615595779631,0.00212963886435527,0.00504890588257101,0.000107642175306599,0.00309771105196618,2.41233263602365e-07,"bswiki","Wikipedia"
"bswikinews",0.437107134756899,0.383396063231131,0.12070191995172,0.00104332550717134,0.035078008139621,0.0182782561180078,0.000877086245835197,0.000231158223361455,0.00327774933686568,9.29848938797513e-06,"bswikinews","Wikinews"
"bswikiquote",0.735909464328349,0.0212265024454108,0.207777706063452,0.00891549349497692,0.0143221829887569,3.84104120307639e-05,0.0014083324349228,0.00245842329962948,0.00786868078302542,7.48037494450125e-05,"bswikiquote","Wikiquote"
"bugwiki",0.63840023968298,0.189223599665897,0.117366350477842,0.000588939099371058,0.0514574406705204,0.000866673763796622,0.000363993154272934,9.63218139032271e-05,0.0016304336199928,6.00805142360591e-06,"bugwiki","Wikipedia"
"bxrwiki",0.292719672022975,0.0127613663934379,0.0197194606459254,0.00192646831809695,0.656561538683743,0.00699515203368275,3.37406304224798e-05,0.000355403660939715,0.00892701374253361,1.83868242803784e-07,"bxrwiki","Wikipedia"
"cawiki",6.21617378898941e-05,0.11758515924293,0.00372989333768443,0.864537428331045,0.0118271927604856,0.00104961985143258,0.00117640934056789,5.68918452034176e-07,3.15660887250857e-05,3.9078830370343e-10,"cawiki","Wikipedia"
"cawikinews",0.29355241053894,0.446230957984752,0.203113817009164,0.0306812000281635,0.0233565357586033,0.00049608173046581,0.000873160048257044,0.000278150423662306,0.00141093111137929,6.75536661289789e-06,"cawikinews","Wikinews"
"cawikiquote",0.64443038001846,0.00142073993615763,0.00141416939403328,0.350957989725955,0.000195497582081982,0.0012580708992231,3.03998399672296e-07,2.99801121288732e-07,0.000322373254932066,1.75389636575761e-07,"cawikiquote","Wikiquote"
"cawikisource",0.221626526354269,0.000902068892460451,1.56057069687871e-06,0.775975340444956,0.000185033013285661,6.92500843773015e-07,4.32097254807842e-06,2.31826315806413e-05,0.00127989431496807,1.38030439088468e-06,"cawikisource","Wikisource"
"cbk_zamwiki",0.58783159249826,0.344368394116273,0.0627622436665352,0.00106469960856167,0.000863449243891126,0.0013267713987771,0.000656941955644648,0.000178958009360161,0.000941373591695707,5.57591100144464e-06,"cbk_zamwiki","Wikipedia"
"cdowiki",0.489923169223237,0.0371216149310166,0.0497747445869218,0.000119821244938757,0.0046576141931636,0.417733393378934,9.46693117374051e-05,2.45280607916214e-05,0.000550170206141465,2.74863118379979e-07,"cdowiki","Wikipedia"
"cebwiki",0.5137564257479,0.248501667858191,0.012128970074262,0.0428548507797702,0.0027073448411316,0.179960119374644,6.4310749945499e-05,1.17189981652421e-07,2.52998298346083e-05,8.93554339067804e-07,"cebwiki","Wikipedia"
"cewiki",3.68306168490303e-07,3.0322588607751e-06,1.92867092968582e-05,3.20248182280539e-07,3.09316513422569e-06,1.41063242165008e-07,1.07398517236243e-05,4.4533888475792e-06,1.50931670816705e-06,0.999957055691836,"cewiki","Wikipedia"
"chrwiki",0.370164498575582,0.341306437389558,0.281422700966402,0.000624707950863428,0.00116829687407665,0.000294952625226418,0.00120389992268428,0.000260050717849622,0.00354792210459105,6.53287316687567e-06,"chrwiki","Wikipedia"
"chwiki",0.521245448715764,0.436991231933776,0.0334371810463082,0.001433173796487,0.00274607114288154,4.95048421166608e-06,0.000612067187625533,0.000337799867042854,0.00317799547748185,1.40803484207626e-05,"chwiki","Wikipedia"
"chywiki",0.627481320324326,0.297769480878205,0.0436162761509508,0.00170007152989094,0.00169445098390611,0.0258241678449009,0.000527310107357854,0.000200625368521343,0.00117920202571058,7.09478622950363e-06,"chywiki","Wikipedia"
"ckbwiki",0.864552666473977,0.046259818553055,0.0641355071502289,0.00101840159933541,0.00530581888738274,7.26670944767617e-05,0.000114574413274923,0.00482450019973505,0.0137153031814737,7.42447061066423e-07,"ckbwiki","Wikipedia"
"commonswiki",2.81129486618816e-08,2.34104966602951e-07,6.26059421874338e-05,2.4737727204189e-08,1.81523968547951e-08,7.60158459412666e-09,4.08154139688818e-11,3.51817264506399e-08,0.999937046111641,1.40060067511099e-11,"commonswiki","Commons"
"cowiki",0.832967546987975,0.0937889963734718,0.0392481140040664,0.028157045152292,0.00456361838472253,0.000242783820146999,0.000161296617426451,4.68922162609642e-05,0.000823020692609131,6.85751029103992e-07,"cowiki","Wikipedia"
"crhwiki",0.592483836210297,0.0959761025423462,0.0409045787274275,7.41631801547236e-05,0.226123189211802,6.81217132768798e-05,0.000327338003155226,0.0438237834416633,0.00021857037786051,3.16592016064459e-07,"crhwiki","Wikipedia"
"crwiki",0.679720358274852,0.233540975564722,0.0705384937668677,0.00226315547209408,0.00835310266642042,1.40590110194273e-05,0.00180831449958416,0.000660172693468412,0.0030659640710201,3.54039799518228e-05,"crwiki","Wikipedia"
"csbwiki",0.693933783029608,0.154635667486398,0.0789996017311972,0.0105609196930829,0.011457338060656,0.000329282997878626,0.000384473832935872,0.000125359627771533,0.0495699850124182,3.58852805348058e-06,"csbwiki","Wikipedia"
"cswiki",0.809097370952864,0.186508603647757,3.90281979333274e-05,0.00106137255068278,1.22370407852686e-05,0.0025577130272475,1.21585348169692e-08,6.81592574852754e-05,0.000655498944125347,4.22258428156138e-09,"cswiki","Wikipedia"
"cswikibooks",0.000216919739696312,0.00021691973969711,0.000216919739696328,0.998047722342732,0.000216919739696436,0.000216919739696312,0.000216919739696449,0.000216919739696323,0.000216919739696395,0.000216919739696312,"cswikibooks","Wikibooks"
"cswikinews",0.302777359036635,0.377521833974869,0.281727143406707,0.000429588501625483,0.0337098978553033,0.000353489669944396,0.00140576663338495,0.00030097957152107,0.00176612239925375,7.81895075557481e-06,"cswikinews","Wikinews"
"cswikiquote",0.621063279265179,0.285654690963852,0.079709668745931,0.00176260429124789,0.00233513246737136,0.00404396449659916,0.00171978411260886,0.000476955867135567,0.0032238424224842,1.00773675910414e-05,"cswikiquote","Wikiquote"
"cswikisource",0.993098647915315,0.00401382606745485,3.59283272421188e-06,0.00240037285063667,0.000115774027280822,5.76453171405784e-07,2.49478144562642e-05,1.94234194761481e-05,0.000321661862642842,1.17675684224172e-06,"cswikisource","Wikisource"
"cuwiki",0.676782960127301,0.238381393412751,0.0783027106735384,0.000390618247269742,0.00127284516468836,0.00072903078408771,0.000744616851904531,0.000411080550056822,0.00298292944422358,1.81474417988875e-06,"cuwiki","Wikipedia"
"cvwiki",0.74433110037799,0.0172148249421727,0.0486438758541344,0.184700056560631,0.00367032647119911,0.00016060908086838,0.000369931225800022,4.70964843114186e-05,0.000755152682032597,0.000107026320860205,"cvwiki","Wikipedia"
"cywiki",0.932019765547003,0.0130304072517168,0.00117209463949406,0.0116481351512848,0.000681588008765166,0.00374742332387503,1.69532317021688e-07,0.000194508276678964,0.0375058709458827,3.73229820684757e-08,"cywiki","Wikipedia"
"dawiki",0.0298194163010992,0.956328535168103,0.00141818876564497,0.00152222381206197,0.000859167141621367,0.00563505207741671,0.00380616164210037,0.000122946384006389,0.000488302791991648,5.91595473503761e-09,"dawiki","Wikipedia"
"dawikiquote",0.0775248573709064,0.87595234570369,0.0138068241289371,0.0034632433078176,0.0165424626089024,2.90037337591611e-05,0.000501182413077785,0.00202859353195734,0.010104835275793,4.66519251594e-05,"dawikiquote","Wikiquote"
"dewiki",8.7372799160806e-06,0.990241092688529,0.00102805672668688,0.00056277248964711,8.41742471231152e-05,0.00783757233034906,1.6345191056045e-06,0.00014665806206443,8.92994950292981e-05,2.16154950288293e-09,"dewiki","Wikipedia"
"dewikibooks",0.15312579722808,0.344981283524107,0.0218678381059553,0.128241723638093,0.0151925529311907,7.48416234482065e-05,0.319296666158863,0.009084209311728,0.00805859572794761,7.64917505875969e-05,"dewikibooks","Wikibooks"
"dewikinews",0.683394660068889,0.106741400703851,0.0812091295129539,0.00531321665977181,0.00767307902304188,0.113893173898691,0.000303496953871447,9.16710736581845e-05,0.00137928808492162,8.84020349804493e-07,"dewikinews","Wikinews"
"dewikiquote",0.754283863346781,0.179002466889825,0.0192558289322779,0.000725415874078687,0.00484655883117698,0.00404375792952349,0.000275906008336286,0.000131553789125825,0.0374288889541823,5.75944469268569e-06,"dewikiquote","Wikiquote"
"dewikisource",0.904841409499894,0.0521751929713635,0.0236007912219737,0.000538831775787605,0.000300194380671785,7.78271673023829e-07,8.58512392609787e-05,3.7638986015727e-05,0.0184177020640976,1.60958926186503e-06,"dewikisource","Wikisource"
"dewikivoyage",0.41205361999129,0.479199844554495,0.030601200287976,0.0759895395844786,1.31311502696356e-05,0.00209005018082666,5.11519553173783e-05,1.68677459690301e-08,1.43561353924986e-06,9.81406153726226e-09,"dewikivoyage","Wikivoyage"
"dinwiki",0.396696727977298,0.112678758466742,0.461380598042412,0.00240342341857822,0.00899595777966183,2.4284874356573e-05,0.0153669141377669,0.000481001789472668,0.00190941677858839,6.29167351239377e-05,"dinwiki","Wikipedia"
"diqwiki",0.785068374472028,0.0587458054316196,0.0932481626893307,0.0525080877719342,0.00510415460066112,0.000250876643937072,0.000309503232082214,4.59259150402902e-05,0.00471861823196101,4.91011405408593e-07,"diqwiki","Wikipedia"
"dsbwiki",0.820442905724705,0.0735154470593155,0.0979085688200141,0.00148735370467314,0.00588746787672041,0.000104806526567152,0.000184675309622024,5.14311938541353e-05,0.000416758849879191,5.84934649824887e-07,"dsbwiki","Wikipedia"
"dtywiki",0.6685006983729,0.134610161732127,0.18565355257972,0.000130327671624897,0.0100312137194511,0.000108673215509869,0.00036269248310187,6.28917655008418e-05,0.00053683960744499,2.94885261937936e-06,"dtywiki","Wikipedia"
"dvwiki",0.633025191590635,0.126275330512199,0.229218812776544,0.000139202243866059,0.00993574314589053,8.64517800689885e-05,0.000560845831785689,8.0969967576963e-05,0.000673774380179794,3.67777125378824e-06,"dvwiki","Wikipedia"
"dzwiki",0.308525349322242,0.379923381055283,0.30359028306915,0.000416666857046165,0.00389964729311863,0.000924627890501016,0.000622903032109549,0.00027160493654094,0.00181557779673303,9.95874727537815e-06,"dzwiki","Wikipedia"
"eewiki",0.468131782155545,0.275980906108819,0.253160197400164,0.000200891760235166,0.0007393455187199,0.000121519913437891,0.000717538498796214,0.000116687427213011,0.000827165082207606,3.96613486292866e-06,"eewiki","Wikipedia"
"elwiki",0.577800462965862,0.406035035052374,0.0109154322452103,1.70465401780042e-05,0.00219610991488136,4.78502392370124e-05,0.00261832404393791,8.45411341611949e-05,0.000285193412983245,4.45117542791548e-09,"elwiki","Wikipedia"
"elwikibooks",0.998047722342733,0.000216919739696323,0.000216919739696312,0.000216919739696332,0.000216919739696336,0.000216919739696312,0.000216919739696314,0.000216919739696313,0.00021691973969676,0.000216919739696314,"elwikibooks","Wikibooks"
"elwikinews",0.171888867974099,0.462684383274869,0.315924009498444,0.000441319859255254,0.0449732513269923,0.000457516656213595,0.00154615599409471,0.00038603442717744,0.001690575687684,7.88530117040343e-06,"elwikinews","Wikinews"
"elwikiquote",0.646782080811767,0.302639169965418,0.00308464645338102,0.00796616237907169,0.0247843074830636,2.47767054980906e-05,0.00377539643307736,0.00363034420482347,0.00726300329624555,5.01122676535966e-05,"elwikiquote","Wikiquote"
"elwikivoyage",0.804815732562784,0.0654788832611952,0.0996682906150282,0.00996912292229107,0.00654385812588146,0.0129664644420249,0.000200202939703239,5.84463735276685e-05,0.000298485320571711,5.13436992222934e-07,"elwikivoyage","Wikivoyage"
"emlwiki",0.866566294115105,0.119962384502096,0.0091770940208983,0.00189345003444528,0.000320451112721399,0.0010490926516465,0.000168245073795278,5.25247326702869e-05,0.000807932801704325,2.53095491800769e-06,"emlwiki","Wikipedia"
"enwiki",0.137542985048769,0.743206543575173,0.0611147770732537,0.00363442410357766,0.000593609059102584,0.0436870772022877,0.00187744965042996,0.000482906670141163,0.0078602136790217,1.39382427415783e-08,"enwiki","Wikipedia"
"enwikibooks",0.377029821527589,0.0740002220161192,0.0203472974706778,0.00143129861773821,0.00248699122132146,0.47580682871982,0.000560037182245001,0.000267646545086557,0.0480577965003736,1.20601990295188e-05,"enwikibooks","Wikibooks"
"enwikinews",0.764674022805068,0.125111152367494,0.0888655148336353,0.00442802142978455,0.00980321417183139,0.00579356155520551,0.000305591747685843,9.23706164713742e-05,0.000925584996318698,9.65476506010213e-07,"enwikinews","Wikinews"
"enwikiquote",0.658156132731818,0.203208568380516,0.121483231235871,0.000456800666833288,0.0147885959091244,0.000358396759908241,0.000511946433445516,0.000122263212903147,0.000909571131969448,4.49353761020607e-06,"enwikiquote","Wikiquote"
"enwikisource",0.77411881068443,0.00696821782679444,0.159414115350561,0.00292703166593751,0.0497194918725275,3.07321311829824e-05,0.000328909927105431,0.000668424770207241,0.00575940027100362,6.48655002498982e-05,"enwikisource","Wikisource"
"enwikivoyage",0.713625056249906,8.3129292028321e-05,0.00327437628802296,0.0214890068879259,0.0103403182452747,0.0958024972125245,0.153584285684648,0.000405867050454201,0.00139535439703282,1.08692183515187e-07,"enwikivoyage","Wikivoyage"
"eowiki",0.0621770354789153,0.774299476322958,0.0390468733555199,0.0123246318090892,0.00425953898113773,0.00376252960610544,0.100901789893847,0.000221795474800622,0.00106060632578072,0.00194572275184601,"eowiki","Wikipedia"
"eowikinews",0.596917136587981,0.135053974317951,0.115144582347426,0.00490872171883257,0.00998332516174382,0.129135790522461,0.000415879772917547,0.000130648699797926,0.00830880835169262,1.13251919693393e-06,"eowikinews","Wikinews"
"eowikiquote",0.584443473266395,0.291193748251975,0.0958449599337196,0.00556681382630802,0.00871678661902714,2.27785758689334e-05,0.00510919896155428,0.00164392118162651,0.00741168516830408,4.66342152219647e-05,"eowikiquote","Wikiquote"
"eowikisource",0.999869005236925,2.46164558290894e-05,5.46356790307874e-07,1.58902550326492e-05,2.72172444955277e-05,9.81680047699082e-07,1.54549863985421e-06,3.96848747898765e-05,1.85100744450281e-05,2.00232300527461e-06,"eowikisource","Wikisource"
"eswiki",3.76043491132565e-07,0.794859959862849,0.010183597521262,0.000307022987266817,1.01037086528706e-05,6.96820158420421e-05,0.194539063322746,2.74294704694444e-05,2.76460986098042e-06,4.57559012078562e-10,"eswiki","Wikipedia"
"eswikibooks",0.998047722342731,0.000216919739696945,0.000216919739696317,0.000216919739696521,0.000216919739696651,0.000216919739696314,0.000216919739697032,0.000216919739696498,0.000216919739696312,0.000216919739696312,"eswikibooks","Wikibooks"
"eswikinews",0.520529394782529,0.282398702119524,0.168594761977671,0.0105188150219971,0.0163366527739039,0.000241039575756163,0.000483730244407221,0.000138137502087049,0.000754215265197201,4.55073692671816e-06,"eswikinews","Wikinews"
"eswikiquote",0.381897691664321,0.471824907733941,0.0370918931570864,0.104750379959538,0.00104560690599898,0.00219201393826215,0.000341367236031133,0.000189280220784003,0.000659866974536233,6.99220950025431e-06,"eswikiquote","Wikiquote"
"eswikisource",3.65034003411737e-05,0.817233157140069,0.0271420444720478,0.155483174183536,4.26612192598674e-05,5.34394248173345e-07,2.9826500889923e-05,2.13136714941439e-05,1.06752407034584e-05,1.09777410489177e-07,"eswikisource","Wikisource"
"eswikivoyage",0.87787976432846,0.0408077862296179,0.0524967662237361,0.0230623783687135,0.00398590228237196,0.00135254517368954,0.000182353776104083,2.41115700781627e-05,0.000208043473749113,3.48573479933026e-07,"eswikivoyage","Wikivoyage"
"etwiki",0.868845714286016,0.00108788811045248,0.00989296291750653,0.0691281789798494,0.00193016677150258,0.0438026053157248,0.00030852489478186,0.0019569175322523,0.00304682360944074,2.17582472993256e-07,"etwiki","Wikipedia"
"etwikiquote",0.67896585178344,0.0977138492579408,0.016489500192883,0.00171673688589417,0.00604517753246063,0.000112434974737331,0.0113151958507754,0.0268823151678293,0.160539993549532,0.000218944804507335,"etwikiquote","Wikiquote"
"euwiki",0.432927291139473,0.115782293616723,0.00286283021469544,0.0434968991226917,0.0182254777516681,0.00482394577958314,0.381753666426417,8.86689986599504e-06,0.000118726797630002,2.25125294294496e-09,"euwiki","Wikipedia"
"extwiki",0.797575874527745,0.0894220465805977,0.0919471437997538,0.0128687890604134,0.00757362691369468,8.87549371614351e-05,0.00016124871062338,3.78651723375264e-05,0.000324109166137047,5.4113153548224e-07,"extwiki","Wikipedia"
"fawiki",0.167676582481337,0.194628130544515,0.122812236789005,0.0284791259940423,0.42768632093997,0.0538781497868574,6.85528408100984e-06,0.00234103425399471,0.00249152912968593,3.47965111031494e-08,"fawiki","Wikipedia"
"fawikinews",0.393146143850474,0.299414046370081,0.279175356316521,0.00028728236629018,0.0246758249895054,0.000280401317789733,0.00145410933088905,0.000208040604908042,0.00135234547056333,6.44938297890511e-06,"fawikinews","Wikinews"
"fawikiquote",0.435456189773908,0.285335141585226,0.247356392638447,0.00028789937780535,0.0302432083995312,1.80879932004752e-05,0.000657337085105026,0.000113906415094116,0.000526778608382388,5.05812330044493e-06,"fawikiquote","Wikiquote"
